sample_id,catalog_generation,role,page_id,viewer_page,source_asset_url,target_reference_words,reference_status,second_review_status
LTMD-CER-1972-LEGAL,1972,legal,LTMD-CN5-G1972-VP004,4,https://historico.conaliteg.gob.mx/c/H1972P5CI084/004.jpg,120,pending,pending
LTMD-CER-1972-TOC,1972,toc,LTMD-CN5-G1972-VP007,7,https://historico.conaliteg.gob.mx/c/H1972P5CI084/007.jpg,120,pending,pending
LTMD-CER-1972-Q1_1,1972,q1_1,LTMD-CN5-G1972-VP026,26,https://historico.conaliteg.gob.mx/c/H1972P5CI084/026.jpg,120,pending,pending
LTMD-CER-1972-Q1_2,1972,q1_2,LTMD-CN5-G1972-VP052,52,https://historico.conaliteg.gob.mx/c/H1972P5CI084/052.jpg,120,pending,pending
LTMD-CER-1972-Q2_1,1972,q2_1,LTMD-CN5-G1972-VP085,85,https://historico.conaliteg.gob.mx/c/H1972P5CI084/085.jpg,120,pending,pending
LTMD-CER-1972-Q2_2,1972,q2_2,LTMD-CN5-G1972-VP109,109,https://historico.conaliteg.gob.mx/c/H1972P5CI084/109.jpg,120,pending,pending
LTMD-CER-1972-Q2_3,1972,q2_3,LTMD-CN5-G1972-VP124,124,https://historico.conaliteg.gob.mx/c/H1972P5CI084/124.jpg,120,pending,pending
LTMD-CER-1972-Q3_1,1972,q3_1,LTMD-CN5-G1972-VP150,150,https://historico.conaliteg.gob.mx/c/H1972P5CI084/150.jpg,120,pending,pending
LTMD-CER-1972-Q3_2,1972,q3_2,LTMD-CN5-G1972-VP174,174,https://historico.conaliteg.gob.mx/c/H1972P5CI084/174.jpg,120,pending,pending
LTMD-CER-1972-Q3_3,1972,q3_3,LTMD-CN5-G1972-VP189,189,https://historico.conaliteg.gob.mx/c/H1972P5CI084/189.jpg,120,pending,pending
LTMD-CER-1972-Q4_1,1972,q4_1,LTMD-CN5-G1972-VP215,215,https://historico.conaliteg.gob.mx/c/H1972P5CI084/215.jpg,120,pending,pending
LTMD-CER-1972-Q4_2,1972,q4_2,LTMD-CN5-G1972-VP246,246,https://historico.conaliteg.gob.mx/c/H1972P5CI084/246.jpg,120,pending,pending
LTMD-CER-1988-LEGAL,1988,legal,LTMD-CN5-G1988-VP002,2,https://historico.conaliteg.gob.mx/c/H1988P5CI123/002.jpg,120,pending,pending
LTMD-CER-1988-TOC,1988,toc,LTMD-CN5-G1988-VP003,3,https://historico.conaliteg.gob.mx/c/H1988P5CI123/003.jpg,120,pending,pending
LTMD-CER-1988-Q1_1,1988,q1_1,LTMD-CN5-G1988-VP016,16,https://historico.conaliteg.gob.mx/c/H1988P5CI123/016.jpg,120,pending,pending
LTMD-CER-1988-Q1_2,1988,q1_2,LTMD-CN5-G1988-VP033,33,https://historico.conaliteg.gob.mx/c/H1988P5CI123/033.jpg,120,pending,pending
LTMD-CER-1988-Q2_1,1988,q2_1,LTMD-CN5-G1988-VP054,54,https://historico.conaliteg.gob.mx/c/H1988P5CI123/054.jpg,120,pending,pending
LTMD-CER-1988-Q2_2,1988,q2_2,LTMD-CN5-G1988-VP068,68,https://historico.conaliteg.gob.mx/c/H1988P5CI123/068.jpg,120,pending,pending
LTMD-CER-1988-Q2_3,1988,q2_3,LTMD-CN5-G1988-VP078,78,https://historico.conaliteg.gob.mx/c/H1988P5CI123/078.jpg,120,pending,pending
LTMD-CER-1988-Q3_1,1988,q3_1,LTMD-CN5-G1988-VP095,95,https://historico.conaliteg.gob.mx/c/H1988P5CI123/095.jpg,120,pending,pending
LTMD-CER-1988-Q3_2,1988,q3_2,LTMD-CN5-G1988-VP109,109,https://historico.conaliteg.gob.mx/c/H1988P5CI123/109.jpg,120,pending,pending
LTMD-CER-1988-Q3_3,1988,q3_3,LTMD-CN5-G1988-VP119,119,https://historico.conaliteg.gob.mx/c/H1988P5CI123/119.jpg,120,pending,pending
LTMD-CER-1988-Q4_1,1988,q4_1,LTMD-CN5-G1988-VP135,135,https://historico.conaliteg.gob.mx/c/H1988P5CI123/135.jpg,120,pending,pending
LTMD-CER-1988-Q4_2,1988,q4_2,LTMD-CN5-G1988-VP155,155,https://historico.conaliteg.gob.mx/c/H1988P5CI123/155.jpg,120,pending,pending
LTMD-CER-1993-LEGAL,1993,legal,LTMD-CN5-G1993-VP002,2,https://historico.conaliteg.gob.mx/c/H1993P5CI200/002.jpg,120,pending,pending
LTMD-CER-1993-TOC,1993,toc,LTMD-CN5-G1993-VP003,3,https://historico.conaliteg.gob.mx/c/H1993P5CI200/003.jpg,120,pending,pending
