source_object_id,viewer_key,observed_at,pypdf_encrypted,pypdf_blank_password_result,pypdf_error_type,pymupdf_needs_password,pymupdf_blank_password_result,pymupdf_error_type,pikepdf_blank_password_open,pikepdf_error_type,text_access_observation_state,embedded_text_sample_state,ocr_available_state,text_verified_state,source_pdf_persisted,extracted_text_persisted
CONALITEG:2026:primaria:P0CMA,P0CMA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P0SHA,P0SHA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P1LPM,P1LPM,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P1MLA,P1MLA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P1PAA,P1PAA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P1PCA,P1PCA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P1PEA,P1PEA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P1SDA,P1SDA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P1TNA,P1TNA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P1TPA,P1TPA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P2MLA,P2MLA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P2PAA,P2PAA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P2PCA,P2PCA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P2PEA,P2PEA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P2SDA,P2SDA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P2TNA,P2TNA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P2TPA,P2TPA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P3LPM,P3LPM,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P3MLA,P3MLA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P3PAA,P3PAA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P3PCA,P3PCA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P3PEA,P3PEA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
CONALITEG:2026:primaria:P3SDA,P3SDA,2026-09-02,True,NOT_DECRYPTED,FileNotDecryptedError,True,0,ValueError,False,PasswordError,blocked_by_password_required_encryption,not_assessed_due_to_access_block,not_assessed,not_assessed,False,False
