ledger_version,attempt_id,attempt_date,wave,viewer_key,tracking_issue,method,scope,query_or_target,outcome,evidence_reference,evidence_sha256,admissibility,state_before,state_after,notes
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-001,2026-08-27,W2,H2018P3DMA,4,evidence_consolidation,repository_record,declared viewer route and 2018-2019 configuration comparison,declared_route_unserved,repo:docs/LTMD_U1_W2_MATHEMATICS_STATUS_0_1.md,,not_admissible_to_resolve,active_retention,active_retention,"0 JPEG on declared route; equal page cardinality to 2019 is not documentary or cryptographic identity evidence"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-002,2026-08-27,W2,H2018P4DMA,4,evidence_consolidation,repository_record,declared viewer route and 2018-2019 configuration comparison,declared_route_unserved,repo:docs/LTMD_U1_W2_MATHEMATICS_STATUS_0_1.md,,not_admissible_to_resolve,active_retention,active_retention,"0 JPEG on declared route; equal page cardinality to 2019 is not documentary or cryptographic identity evidence"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-003,2026-08-27,W2,H2018P5DMA,4,evidence_consolidation,repository_record,declared viewer route and 2018-2019 configuration comparison,declared_route_unserved,repo:docs/LTMD_U1_W2_MATHEMATICS_STATUS_0_1.md,,not_admissible_to_resolve,active_retention,active_retention,"0 JPEG on declared route; equal page cardinality to 2019 is not documentary or cryptographic identity evidence"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-004,2026-08-27,W2,H2018P6DMA,4,evidence_consolidation,repository_record,declared viewer route and 2018-2019 configuration comparison,declared_route_unserved,repo:docs/LTMD_U1_W2_MATHEMATICS_STATUS_0_1.md,,not_admissible_to_resolve,active_retention,active_retention,"0 JPEG on declared route; equal page cardinality to 2019 is not documentary or cryptographic identity evidence"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-005,2026-08-27,W7,H2014P5FCA,5,evidence_consolidation,repository_record,logical page 104 / 104.jpg and archive discovery probes,isolated_gap_unresolved,repo:docs/LTMD_U1_W7_WITHHELD_SOURCE_RESEARCH_0_3.md,,not_admissible_to_resolve,active_retention,active_retention,"224 JPEG served; page 104 remains missing; Wayback/Common Crawl attempts were infrastructure-inconclusive and do not demonstrate absence"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-006,2026-08-27,W7,H2018P3FCA,5,evidence_consolidation,repository_record,official viewer/configuration and page-asset routing contract,official_subtree_unserved,repo:docs/LTMD_U1_W7_WITHHELD_SOURCE_RESEARCH_0_3.md,,not_admissible_to_resolve,active_retention,active_retention,"viewer/configuration present; observed official asset route returns 404 in bounded probes; no deterministic alternate endpoint documented"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-007,2026-08-27,W7,H2018P4FCA,5,evidence_consolidation,repository_record,official viewer/configuration and page-asset routing contract,official_subtree_unserved,repo:docs/LTMD_U1_W7_WITHHELD_SOURCE_RESEARCH_0_3.md,,not_admissible_to_resolve,active_retention,active_retention,"viewer/configuration present; observed official asset route returns 404 in bounded probes; no deterministic alternate endpoint documented"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-008,2026-08-27,W7,H2018P5FCA,5,evidence_consolidation,repository_record,official viewer/configuration and page-asset routing contract,official_subtree_unserved,repo:docs/LTMD_U1_W7_WITHHELD_SOURCE_RESEARCH_0_3.md,,not_admissible_to_resolve,active_retention,active_retention,"viewer/configuration present; observed official asset route returns 404 in bounded probes; no deterministic alternate endpoint documented"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-009,2026-08-27,W7,H2018P6FCA,5,evidence_consolidation,repository_record,official viewer/configuration and page-asset routing contract,official_subtree_unserved,repo:docs/LTMD_U1_W7_WITHHELD_SOURCE_RESEARCH_0_3.md,,not_admissible_to_resolve,active_retention,active_retention,"viewer/configuration present; observed official asset route returns 404 in bounded probes; no deterministic alternate endpoint documented"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-010,2026-08-27,W8,H2018P3EAA,9,evidence_consolidation,repository_record,W8 retained-source state and acceptance criteria,source_unresolved,issue:9,,not_admissible_to_resolve,active_retention,active_retention,"historical identity preserved but source representation is not reproducibly resolved; no heuristic substitute admitted"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-011,2026-08-27,W8,H2018P4EAA,9,evidence_consolidation,repository_record,W8 retained-source state and acceptance criteria,source_unresolved,issue:9,,not_admissible_to_resolve,active_retention,active_retention,"historical identity preserved but source representation is not reproducibly resolved; no heuristic substitute admitted"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-012,2026-08-27,W8,H2018P5EAA,9,evidence_consolidation,repository_record,W8 retained-source state and acceptance criteria,source_unresolved,issue:9,,not_admissible_to_resolve,active_retention,active_retention,"historical identity preserved but source representation is not reproducibly resolved; no heuristic substitute admitted"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-013,2026-08-27,W8,H2018P6EAA,9,evidence_consolidation,repository_record,W8 retained-source state and acceptance criteria,source_unresolved,issue:9,,not_admissible_to_resolve,active_retention,active_retention,"historical identity preserved but source representation is not reproducibly resolved; no heuristic substitute admitted"
LTMD_U1_RETAINED_SOURCE_ATTEMPTS_0.1,RS-20260827-014,2026-08-27,W2,H2018P3DMA,4,exact_key_index_search,official_CONALITEG_domains_and_public_web_indexes,"\"H2018P3DMA\"",no_indexed_result,search:exact-viewer-key,,discovery_only,active_retention,active_retention,"No exact-key indexed result surfaced; negative indexing is not evidence that the historical source did not exist"
