registry_version,source_id,wave,operational_domain,asset_manifest_path,viewer_key_column,catalog_generation_column,grade_column,title_column,viewer_page_column,source_index_column,url_column,status_column,admitted_status,byte_size_column,sha256_column,default_enabled,notes
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w1_cn_1966,W1,ciencias_naturales,data/catalog/ltmd_u1_w1_1966_page_manifest.csv,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_image_index,source_asset_url,asset_status,source_jpeg,byte_size,sha256,1,Auditoría W1 1966 ya materializada con contrato de página moderno.
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w1_cn_main,W1,ciencias_naturales,data/catalog/ciencias_naturales_pending_page_manifest.csv,viewer_key,catalog_generation,grade,,viewer_page,source_image_index,source_asset_url,asset_status,source_jpeg,byte_size,sha256,1,Manifiesto principal de páginas fuente para Ciencias Naturales; title_core se recupera del registro global de cobertura.
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w1_cn_2008_reconciled,W1,ciencias_naturales,data/catalog/ltmd_u1_w1_2008_page_manifest.csv,viewer_key,catalog_generation,grade,,viewer_page,source_image_index,effective_source_asset_url,effective_asset_status,source_jpeg,byte_size,sha256,1,Manifiesto reconciliado W1 2008; title_core se recupera de cobertura y se usa la ruta efectiva.
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w2_math_reconciled,W2,matematicas,data/catalog/ltmd_u1_w2_math_reconciled_manifest.csv,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_image_index,effective_asset_url,effective_asset_status,source_jpeg,effective_byte_size,effective_sha256,1,Fuente efectiva reconciliada para Matemáticas; conserva anomalía original por separado.
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w3_spanish,W3,espanol_lengua,data/catalog/ltmd_u1_w3_spanish_asset_manifest.csv,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_image_index,source_asset_url,asset_status,source_jpeg,byte_size,sha256,1,Manifiesto fuente-admitido de Español y Lengua.
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w4_social_sciences,W4,ciencias_sociales,data/catalog/ltmd_u1_w4_social_sciences_asset_manifest.csv,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_image_index,source_asset_url,asset_status,source_jpeg,byte_size,sha256,1,Manifiesto fuente-admitido de Ciencias Sociales.
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w5_history,W5,historia,data/catalog/ltmd_u1_w5_history_asset_manifest.csv,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_image_index,source_asset_url,asset_status,source_jpeg,byte_size,sha256,1,W5 se conserva como una fuente más y como fixture real de integración; no define la arquitectura universal.
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w6_geography_atlas,W6,geografia_atlas,data/catalog/ltmd_u1_w6_geography_atlas_asset_manifest.csv,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_image_index,source_asset_url,asset_status,source_jpeg,byte_size,sha256,1,Manifiesto fuente-admitido de Geografía y Atlas.
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w7_civics_ethics,W7,civica_etica,data/catalog/ltmd_u1_w7_civics_ethics_asset_manifest.csv,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_image_index,source_asset_url,asset_status,source_jpeg,byte_size,sha256,1,Manifiesto fuente-admitido de Formación Cívica y Ética.
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w8_arts,W8,artes,data/catalog/ltmd_u1_w8_artes_asset_manifest.csv,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_image_index,source_asset_url,asset_status,source_jpeg,byte_size,sha256,1,Manifiesto fuente-admitido de Artes.
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w9_physical_education,W9,educacion_fisica,data/catalog/ltmd_u1_w9_educacion_fisica_asset_manifest.csv,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_image_index,source_asset_url,asset_status,source_jpeg,byte_size,sha256,1,Manifiesto fuente-admitido de Educación Física.
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w10_integrated,W10,integrados_multiarea,data/catalog/ltmd_u1_w10_asset_manifest.csv,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_image_index,source_asset_url,asset_status,source_jpeg,byte_size,sha256,1,Manifiesto fuente-admitido de libros integrados y multiarea.
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w11_standard,W11,otros_no_clasificados,data/catalog/ltmd_u1_w11_standard_asset_manifest.csv,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_image_index,source_asset_url,asset_status,source_jpeg,byte_size,sha256,1,Rutas estándar W11.
LTMD_U1_FTRL_SOURCE_REGISTRY_0.1,w11_nonstandard,W11,otros_no_clasificados,data/catalog/ltmd_u1_w11_nonstandard_asset_manifest.csv,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_image_index,source_asset_url,asset_status,source_jpeg,byte_size,sha256,1,Rutas no estándar W11 normalizadas al mismo contrato fuente.
