viewer_key,title,grade,catalog_generation,viewer_url,external_source_urls,access_date,result_type,bibliographic_statement,confidence,manifestation_compatible,resolution_class,notes
H2008P1CI251,"FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO",1,2008,https://historico.conaliteg.gob.mx/H2008P1CI251.htm,https://web.siia.unam.mx/siia-publico/c/busqueda_individual.php?id=69788,2026-08-30,exact_viewer_plus_family_record,"CONALITEG confirms exact viewer identity/title/grade/generation; UNAM SIIA reports 2008 records for first-grade Formación Cívica y Ética including a cuaderno de trabajo, but no identifier binds that catalog record to this viewer.",medium,no,documented_no_resolution,"Do not convert catalog_generation=2008 into publication year or school cycle. External record remains family-level."
H2008P2CI258,"FORMACIÓN CÍVICA Y ÉTICA CUADERNO DE TRABAJO",2,2008,https://historico.conaliteg.gob.mx/H2008P2CI258.htm,https://web.siia.unam.mx/siia-publico/c/busqueda_individual.php?id=69788,2026-08-30,exact_viewer_plus_family_record,"CONALITEG confirms exact viewer identity/title/grade/generation; UNAM SIIA reports a 2008 Formación cívica y ética. Cuaderno de trabajo. Segundo grado record (ISBN 9789680117635), without a viewer-level linkage.",medium,no,documented_no_resolution,"Title/grade/ISBN family compatibility is insufficient to assign a cycle to the viewer."
H2008P3CI264,"FORMACIÓN CÍVICA Y ÉTICA",3,2008,https://historico.conaliteg.gob.mx/H2008P3CI264.htm,https://web.siia.unam.mx/siia-publico/c/busqueda_individual.php?id=68730,2026-08-30,exact_viewer_plus_family_record,"CONALITEG confirms exact viewer identity/title/grade/generation; UNAM SIIA reports Formación cívica y ética. Tercer grado, SEP, 2008, ISBN 978-968-01-1735-2, without viewer-level linkage.",medium,no,documented_no_resolution,"Institutional family record is compatible but not an exact manifestation proof."
H2008P4CI269,"FORMACIÓN CÍVICA Y ÉTICA",4,2008,https://historico.conaliteg.gob.mx/H2008P4CI269.htm,https://sibi.upn.mx/bib/190404,2026-08-30,exact_viewer_plus_institutional_record,"CONALITEG confirms exact viewer identity/title/grade/generation; UPN BiblioGTQ records Formación cívica y ética: cuarto grado: primaria, SEP/CONALITEG, 2008, ISBN 9789680117369, with note Ciclo escolar 2008-2009.",high,no,documented_no_resolution,"Strong institutional bibliographic compatibility, but no viewer/ISBN/page-SHA linkage establishes exact manifestation identity."
H2008P5CI278,"FORMACIÓN CÍVICA Y ÉTICA",5,2008,https://historico.conaliteg.gob.mx/H2008P5CI278.htm,"https://web.siia.unam.mx/siia-publico/c/busqueda_individual.php?id=69788;https://produccion.siia.unam.mx/Publicaciones/ProdCientif/PublicacionFrw.aspx?id=310259",2026-08-30,exact_viewer_plus_multiple_family_records,"CONALITEG confirms exact viewer identity/title/grade/generation. UNAM SIIA exposes multiple 2008 fifth-grade related records/ISBN statements; none is bound to the viewer. Internal evidence already observes cycle 2008-2009, but the external search did not find a new primary page statement with page+SHA.",medium,no,documented_no_resolution,"Per issue #6, this object cannot gain an instance candidate from title/grade catalog matching alone."
H2011P3CI308,"FORMACIÓN CÍVICA Y ÉTICA",3,2011,https://historico.conaliteg.gob.mx/H2011P3CI308.htm,"https://www.gob.mx/sep/documentos/programa-tercer-grado-formacion-civica-y-etica;https://www.humanindex.unam.mx/humanindex/fichas_pdf/Libro14654%20AlvarezArellano%20Formacion%20Civica%20y%20Eti.pdf",2026-08-30,exact_viewer_plus_family_record,"CONALITEG confirms exact viewer identity/title/grade/generation. SEP confirms the 2011 primary program context; UNAM Humanindex records a third-grade LTG manifestation for cycle 2013-2014, year 2013, ISBN 978-607-469-399-7. No source binds that manifestation to this viewer.",medium,no,documented_no_resolution,"Program chronology is not book manifestation chronology; the 2013 Humanindex record remains family-level."
H2011P4CI315,"FORMACIÓN CÍVICA Y ÉTICA",4,2011,https://historico.conaliteg.gob.mx/H2011P4CI315.htm,"https://www.gob.mx/sep/acciones-y-programas/cuarto-grado-formacion-civica-y-etica;https://web.siia.unam.mx/siia-publico/c/busqueda_individual.php?id=69788",2026-08-30,exact_viewer_plus_family_record,"CONALITEG confirms exact viewer identity/title/grade/generation; institutional searches surface fourth-grade family records but no new primary statement tied to this viewer. Internal evidence preserves cycle 2013-2014 while the observed legal page reads reimpresión 2012.",medium,no,documented_no_resolution,"Do not convert 2012 to 2013 or select a later record for convenience. No compatible primary page+SHA statement found."
H2011P6CI336,"FORMACIÓN CÍVICA Y ÉTICA",6,2011,https://historico.conaliteg.gob.mx/H2011P6CI336.htm,https://www.humanindex.unam.mx/humanindex/fichas_pdf/Libro14657%20AlvarezArellano%20Formacion%20Civica%20y%20Eti.pdf,2026-08-30,exact_viewer_plus_family_record,"CONALITEG confirms exact viewer identity/title/grade/generation; UNAM Humanindex records a sixth-grade LTG manifestation for cycle 2013-2014, year 2013, ISBN 978-607-469-730-3. Internal legal-page evidence for this viewer reads reimpresión 2012; no exact linkage to the Humanindex manifestation was found.",medium,no,documented_no_resolution,"No new primary page+SHA statement compatible with the viewer; preserve the 2012/2013 distinction."
H2014P1FCA,"Formación Cívica y Ética",1,2014,https://historico.conaliteg.gob.mx/H2014P1FCA.htm,"https://pacoelchato.org/Primer-Grado/Formacion-Civica-y-Etica/Portada/Presentacion/4.html",2026-08-30,exact_viewer_plus_secondary_fulltext,"CONALITEG confirms exact viewer identity/title/grade/generation. A secondary full-text mirror reproduces a legal page stating quinta edición revisada, 2014 (ciclo escolar 2014-2015), ISBN 978-607-514-723-9. No primary/institutional identifier links that manifestation to this viewer.",medium,no,documented_no_resolution,"Useful lead only. Secondary mirror is not promoted to exact manifestation evidence."
H2014P2FCA,"Formación Cívica y Ética",2,2014,https://historico.conaliteg.gob.mx/H2014P2FCA.htm,"https://sibi.upn.mx/bib/178724;https://pacoelchato.org/Segundo-Grado/Formacion-Civica-y-Etica/Portada/Presentacion/4.html",2026-08-30,exact_viewer_plus_institutional_record,"CONALITEG confirms exact viewer identity/title/grade/generation. UPN BiblioGTQ records second grade, SEP, 2014, 5a ed. revisada, ISBN 9786075147246; a secondary full-text mirror states ciclo escolar 2014-2015. No viewer-level identifier linkage was found.",high,no,documented_no_resolution,"Institutional year/edition plus secondary cycle evidence remains insufficient for exact manifestation assignment."
