fragment_id,page_id,book_id,catalog_generation,grade,viewer_page,fragment_sequence,candidate_type,token_count,char_count,question_mark_count,imperative_signal_count,material_signal,project_signal,experiment_signal,assessment_signal,activity_signal,text_sha256,segmenter_version,source_structure_class,classification_certainty,uncertain_boundary
U1-H1966P6CI374-VP002-F001,U1-H1966P6CI374-VP002,U1-H1966P6CI374,1966,6,2,1,short_residual_candidate,6,29,0,0,0,0,0,0,0,d1529c4d5e59495103fc4025d4f93f0d122b86db4d52e6dda6c1da8d569de79f,FRAGSEG_LTMD_U1_W1_1966_0.1,mixed_text_image,medium,0
U1-H1966P6CI374-VP002-F002,U1-H1966P6CI374-VP002,U1-H1966P6CI374,1966,6,2,2,short_residual_candidate,6,27,0,0,0,0,0,0,0,a97f26610af73489255961e32c50240d720912c75caf2fa6ab7ab3db89303980,FRAGSEG_LTMD_U1_W1_1966_0.1,mixed_text_image,medium,0
U1-H1966P6CI374-VP002-F003,U1-H1966P6CI374-VP002,U1-H1966P6CI374,1966,6,2,3,expository_candidate,13,71,0,0,0,0,0,0,0,39faa67b6b6fd7150c2a1191b7453c7e1c58492cc0da604ae5928651703ce36d,FRAGSEG_LTMD_U1_W1_1966_0.1,mixed_text_image,medium,0
U1-H1966P6CI374-VP003-F001,U1-H1966P6CI374-VP003,U1-H1966P6CI374,1966,6,3,1,short_residual_candidate,7,35,0,0,0,0,0,0,0,8fc0c60a996d8767393fa83246069a6fd9610915f68272fb1feae4a24104e639,FRAGSEG_LTMD_U1_W1_1966_0.1,mixed_text_image,low,0
U1-H1966P6CI374-VP003-F002,U1-H1966P6CI374-VP003,U1-H1966P6CI374,1966,6,3,2,short_residual_candidate,4,24,0,0,0,0,0,0,0,7d315bbf325847599cac22b94c25ffd2af6384ebf192af9eecdcaccfb4861ad1,FRAGSEG_LTMD_U1_W1_1966_0.1,mixed_text_image,low,0
U1-H1966P6CI374-VP005-F001,U1-H1966P6CI374-VP005,U1-H1966P6CI374,1966,6,5,1,expository_candidate,42,254,0,0,0,0,0,0,0,0650ff9f23ea03c8833313336b0bb0ee04a58edf6d5a190776c6c236c4a7249a,FRAGSEG_LTMD_U1_W1_1966_0.1,textual,high,0
U1-H1966P6CI374-VP005-F002,U1-H1966P6CI374-VP005,U1-H1966P6CI374,1966,6,5,2,short_residual_candidate,1,3,0,0,0,0,0,0,0,9c7f65f0de9b96e02ca75b498643c259ddd4ec0174f5165db0f280e436875283,FRAGSEG_LTMD_U1_W1_1966_0.1,textual,high,0
U1-H1966P6CI374-VP005-F003,U1-H1966P6CI374-VP005,U1-H1966P6CI374,1966,6,5,3,expository_candidate,73,475,0,0,0,0,0,0,0,13c9420c47b34231bdced75e4530b7e1303629e0286058b7b0c5e0af487f3f16,FRAGSEG_LTMD_U1_W1_1966_0.1,textual,high,0
U1-H1966P6CI374-VP005-F004,U1-H1966P6CI374-VP005,U1-H1966P6CI374,1966,6,5,4,short_residual_candidate,1,2,0,0,0,0,0,0,0,d816c31e610c123f63c806863c99c199a73e629443d055e25e8272dc367e5f53,FRAGSEG_LTMD_U1_W1_1966_0.1,textual,high,0
U1-H1966P6CI374-VP005-F005,U1-H1966P6CI374-VP005,U1-H1966P6CI374,1966,6,5,5,instruction_candidate,80,485,0,2,0,0,0,0,0,5a68a5d1d949300becdd1e840b4558cf9f0688e27cfcb754069b8231a6907b06,FRAGSEG_LTMD_U1_W1_1966_0.1,textual,high,0
U1-H1966P6CI374-VP005-F006,U1-H1966P6CI374-VP005,U1-H1966P6CI374,1966,6,5,6,instruction_candidate,14,80,0,1,0,0,0,0,0,335d993a9ecbe70b1bca9f5df628914ae3bf1262d55f83202316432d1181053b,FRAGSEG_LTMD_U1_W1_1966_0.1,textual,high,0
U1-H1966P6CI374-VP005-F007,U1-H1966P6CI374-VP005,U1-H1966P6CI374,1966,6,5,7,expository_candidate,82,518,0,0,0,0,0,0,0,6d597419e60805ca708674f811b685e5adba3d779b1c3dba98bebda9920e45ed,FRAGSEG_LTMD_U1_W1_1966_0.1,textual,high,0
U1-H1966P6CI374-VP005-F008,U1-H1966P6CI374-VP005,U1-H1966P6CI374,1966,6,5,8,short_residual_candidate,1,3,0,0,0,0,0,0,0,5bc524c305ccad938fddf68f69a6c86dcb48f4725e4fbc5c1adc6948dcd8a368,FRAGSEG_LTMD_U1_W1_1966_0.1,textual,high,0
U1-H1966P6CI374-VP005-F009,U1-H1966P6CI374-VP005,U1-H1966P6CI374,1966,6,5,9,short_residual_candidate,6,45,0,0,0,0,0,0,0,f950b4def925ecb4a9170eecaf56e75e42c7fa656d9c577ae613240a8ebbcd9b,FRAGSEG_LTMD_U1_W1_1966_0.1,textual,high,0
U1-H1966P6CI374-VP005-F010,U1-H1966P6CI374-VP005,U1-H1966P6CI374,1966,6,5,10,short_residual_candidate,1,4,0,0,0,0,0,0,0,f8c27f79b3c0d27534bf7d7fb53370d9cb62a85bdf46de1012aebc74804c0124,FRAGSEG_LTMD_U1_W1_1966_0.1,textual,high,0
U1-H1966P6CI374-VP005-F011,U1-H1966P6CI374-VP005,U1-H1966P6CI374,1966,6,5,11,expository_candidate,26,155,0,0,0,0,0,0,0,54e93cb251a271b8ec42ebaedb794559ed917977a869009574e6816daf58df79,FRAGSEG_LTMD_U1_W1_1966_0.1,textual,high,0
U1-H1966P6CI374-VP009-F001,U1-H1966P6CI374-VP009,U1-H1966P6CI374,1966,6,9,1,short_residual_candidate,4,14,0,0,0,0,0,0,0,e7d6d3b355ef3d703e033526cfd4570bd18104b1f5b69c26d7ef9f128f9531ca,FRAGSEG_LTMD_U1_W1_1966_0.1,textual,high,0
